('am7+/c#', 1)8.122816992933149e-05total: 0.9991877183007001
('f/bb', 1)8.122816992933149e-05total: 0.9992689464706294
('g#m/b', 1)8.122816992933149e-05total: 0.9993501746405586
('am7+/g#', 1)8.122816992933149e-05total: 0.9994314028104879
('g#m7/b', 1)8.122816992933149e-05total: 0.9995126309804172
('d#m/f#', 1)8.122816992933149e-05total: 0.9995938591503465
('em7+', 1)8.122816992933149e-05total: 0.9996750873202758
('fø7/e', 1)8.122816992933149e-05total: 0.999756315490205
('b7/a#', 1)8.122816992933149e-05total: 0.9998375436601343
('a7/d', 1)8.122816992933149e-05total: 0.9999187718300636
('f#m', 1)8.122816992933149e-05total: 0.9999999999999929
